Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Cluster_ID
1	Spectrogram 1	1	0.0	4.0	200	2000	Cluster 1
2	Spectrogram 1	1	4.0	8.0	200	2000	Cluster 1
3	Spectrogram 1	1	8.0	12.0	200	2000	Cluster 1
4	Spectrogram 1	1	12.0	16.0	200	2000	Cluster 0
5	Spectrogram 1	1	16.0	20.0	200	2000	Cluster 0
6	Spectrogram 1	1	20.0	24.0	200	2000	Cluster 0
7	Spectrogram 1	1	24.0	28.0	200	2000	Cluster 0
8	Spectrogram 1	1	28.0	32.0	200	2000	Cluster 0
9	Spectrogram 1	1	32.0	36.0	200	2000	Cluster 1
10	Spectrogram 1	1	36.0	40.0	200	2000	Cluster 0
11	Spectrogram 1	1	40.0	44.0	200	2000	Cluster 0
12	Spectrogram 1	1	44.0	48.0	200	2000	Cluster 0
13	Spectrogram 1	1	48.0	52.0	200	2000	Cluster 0
14	Spectrogram 1	1	52.0	56.0	200	2000	Cluster 0
