Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio
1	1	1	0	4	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
2	1	1	2	6	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
3	1	1	4	8	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
4	1	1	6	10	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
5	1	1	8	12	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
6	1	1	10	14	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
7	1	1	12	16	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
8	1	1	14	18	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
9	1	1	16	20	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
10	1	1	18	22	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
11	1	1	20	24	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
12	1	1	22	26	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
13	1	1	24	28	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
14	1	1	26	30	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
15	1	1	28	32	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
16	1	1	30	34	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
17	1	1	32	36	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
18	1	1	34	38	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
19	1	1	36	40	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
20	1	1	38	42	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
21	1	1	40	44	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
22	1	1	42	46	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
23	1	1	44	48	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
24	1	1	46	50	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
25	1	1	48	52	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
26	1	1	50	54	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
27	1	1	52	56	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180002.wav	BO-81Tapyta
28	1	1	0	4	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
29	1	1	2	6	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
30	1	1	4	8	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
31	1	1	6	10	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
32	1	1	8	12	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
33	1	1	10	14	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
34	1	1	12	16	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
35	1	1	14	18	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
36	1	1	16	20	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
37	1	1	18	22	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
38	1	1	20	24	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
39	1	1	22	26	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
40	1	1	24	28	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
41	1	1	26	30	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
42	1	1	28	32	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
43	1	1	30	34	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
44	1	1	32	36	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
45	1	1	34	38	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
46	1	1	36	40	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
47	1	1	38	42	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
48	1	1	40	44	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
49	1	1	42	46	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
50	1	1	44	48	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
51	1	1	46	50	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
52	1	1	48	52	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
53	1	1	50	54	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
54	1	1	52	56	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180102.wav	BO-81Tapyta
55	1	1	0	4	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
56	1	1	2	6	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
57	1	1	4	8	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
58	1	1	6	10	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
59	1	1	8	12	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
60	1	1	10	14	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
61	1	1	12	16	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
62	1	1	14	18	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
63	1	1	16	20	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
64	1	1	18	22	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
65	1	1	20	24	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
66	1	1	22	26	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
67	1	1	24	28	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
68	1	1	26	30	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
69	1	1	28	32	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
70	1	1	30	34	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
71	1	1	32	36	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
72	1	1	34	38	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
73	1	1	36	40	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
74	1	1	38	42	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
75	1	1	40	44	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
76	1	1	42	46	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
77	1	1	44	48	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
78	1	1	46	50	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
79	1	1	48	52	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
80	1	1	50	54	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
81	1	1	52	56	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180202.wav	BO-81Tapyta
82	1	1	0	4	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180302.wav	BO-81Tapyta
83	1	1	2	6	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180302.wav	BO-81Tapyta
84	1	1	4	8	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180302.wav	BO-81Tapyta
85	1	1	6	10	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180302.wav	BO-81Tapyta
86	1	1	8	12	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180302.wav	BO-81Tapyta
87	1	1	10	14	0.0	8000.0	cluster_1	BO-81Tapyta/BO-81TAPYTA_20250409_180302.wav	BO-81Tapyta
