Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio
1	1	1	50	54	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250418_040302.wav	BO-Tapyta
2	1	1	0	4	0.0	8000.0	cluster_6	BO-82Tapyta/BO-82TAPYTA_20250410_213002.wav	BO-Tapyta
3	1	1	16	20	0.0	8000.0	cluster_2	BO-81Tapyta/BO-81TAPYTA_20250416_011502.wav	BO-Tapyta
4	1	1	26	30	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250427_215702.wav	BO-Tapyta
5	1	1	22	26	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250502_204002.wav	BO-Tapyta
6	1	1	16	20	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250416_012402.wav	BO-Tapyta
7	1	1	26	30	0.0	8000.0	cluster_9	BO-82Tapyta/BO-82TAPYTA_20250430_043102.wav	BO-Tapyta
8	1	1	32	36	0.0	8000.0	cluster_9	BO-82Tapyta/BO-82TAPYTA_20250429_050902.wav	BO-Tapyta
9	1	1	22	26	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250412_052302.wav	BO-Tapyta
10	1	1	10	14	0.0	8000.0	cluster_4	BO-81Tapyta/BO-81TAPYTA_20250413_005602.wav	BO-Tapyta
11	1	1	38	42	0.0	8000.0	cluster_1	BO-82Tapyta/BO-82TAPYTA_20250417_185702.wav	BO-Tapyta
12	1	1	2	6	0.0	8000.0	cluster_6	BO-82Tapyta/BO-82TAPYTA_20250414_055402.wav	BO-Tapyta
13	1	1	46	50	0.0	8000.0	cluster_6	BO-82Tapyta/BO-82TAPYTA_20250414_025802.wav	BO-Tapyta
14	1	1	2	6	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250411_200402.wav	BO-Tapyta
15	1	1	26	30	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250425_005202.wav	BO-Tapyta
16	1	1	28	32	0.0	8000.0	cluster_1	BO-82Tapyta/BO-82TAPYTA_20250415_190602.wav	BO-Tapyta
