Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen
1	1	1			0.0	8000.0		
2	1	1	50.0	54.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250418_040302.wav
3	1	1			0.0	8000.0		
4	1	1	16.0	20.0	0.0	8000.0	cluster_2	BO-81Tapyta/BO-81TAPYTA_20250416_011502.wav
5	1	1	26.0	30.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250427_215702.wav
6	1	1	22.0	26.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250502_204002.wav
7	1	1	16.0	20.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250416_012402.wav
8	1	1			0.0	8000.0		
9	1	1			0.0	8000.0		
10	1	1			0.0	8000.0		
11	1	1	22.0	26.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250412_052302.wav
12	1	1			0.0	8000.0		
13	1	1			0.0	8000.0		
14	1	1			0.0	8000.0		
15	1	1			0.0	8000.0		
16	1	1			0.0	8000.0		
17	1	1			0.0	8000.0		
18	1	1			0.0	8000.0		
19	1	1			0.0	8000.0		
20	1	1			0.0	8000.0		
21	1	1	2.0	6.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250411_200402.wav
22	1	1	26.0	30.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250425_005202.wav
23	1	1			0.0	8000.0		
24	1	1			0.0	8000.0		
25	1	1			0.0	8000.0		
26	1	1			0.0	8000.0		
27	1	1			0.0	8000.0		
28	1	1			0.0	8000.0		
29	1	1			0.0	8000.0		
30	1	1			0.0	8000.0		
31	1	1			0.0	8000.0		
32	1	1			0.0	8000.0		
33	1	1	0.0	4.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250418_050602.wav
34	1	1			0.0	8000.0		
35	1	1			0.0	8000.0		
36	1	1			0.0	8000.0		
37	1	1			0.0	8000.0		
38	1	1			0.0	8000.0		
39	1	1			0.0	8000.0		
40	1	1	52.0	56.0	0.0	8000.0	cluster_2	BO-81Tapyta/BO-81TAPYTA_20250414_202302.wav
41	1	1	8.0	12.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250427_050902.wav
42	1	1			0.0	8000.0		
43	1	1			0.0	8000.0		
44	1	1			0.0	8000.0		
45	1	1			0.0	8000.0		
46	1	1	4.0	8.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250424_213202.wav
47	1	1			0.0	8000.0		
48	1	1			0.0	8000.0		
49	1	1			0.0	8000.0		
50	1	1			0.0	8000.0		
51	1	1			0.0	8000.0		
52	1	1			0.0	8000.0		
53	1	1			0.0	8000.0		
54	1	1			0.0	8000.0		
55	1	1			0.0	8000.0		
56	1	1	20.0	24.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250415_194202.wav
57	1	1			0.0	8000.0		
58	1	1			0.0	8000.0		
59	1	1			0.0	8000.0		
60	1	1			0.0	8000.0		
61	1	1			0.0	8000.0		
62	1	1	36.0	40.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250426_040802.wav
63	1	1			0.0	8000.0		
64	1	1			0.0	8000.0		
65	1	1			0.0	8000.0		
66	1	1			0.0	8000.0		
67	1	1			0.0	8000.0		
68	1	1			0.0	8000.0		
69	1	1			0.0	8000.0		
70	1	1	34.0	38.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250412_034902.wav
71	1	1			0.0	8000.0		
72	1	1	44.0	48.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250414_215802.wav
73	1	1			0.0	8000.0		
74	1	1			0.0	8000.0		
75	1	1	16.0	20.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250416_224402.wav
76	1	1	18.0	22.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250411_185402.wav
77	1	1			0.0	8000.0		
78	1	1	34.0	38.0	0.0	8000.0	cluster_2	BO-81Tapyta/BO-81TAPYTA_20250416_043202.wav
79	1	1			0.0	8000.0		
80	1	1			0.0	8000.0		
81	1	1			0.0	8000.0		
82	1	1			0.0	8000.0		
83	1	1	20.0	24.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250414_220402.wav
84	1	1			0.0	8000.0		
85	1	1			0.0	8000.0		
86	1	1			0.0	8000.0		
87	1	1			0.0	8000.0		
88	1	1			0.0	8000.0		
89	1	1			0.0	8000.0		
90	1	1	30.0	34.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250426_051202.wav
91	1	1			0.0	8000.0		
92	1	1	14.0	18.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250417_210502.wav
93	1	1			0.0	8000.0		
94	1	1			0.0	8000.0		
95	1	1	22.0	26.0	0.0	8000.0	cluster_2	BO-82Tapyta/BO-82TAPYTA_20250413_200202.wav
96	1	1			0.0	8000.0		
97	1	1			0.0	8000.0		
98	1	1			0.0	8000.0		
99	1	1			0.0	8000.0		
100	1	1			0.0	8000.0		
