Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio	cluster_original
1	1	1	8	12	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250604_042902.wav	CANTERA1Tapy	cluster_9
2	1	1	10	14	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250604_042902.wav	CANTERA1Tapy	cluster_9
3	1	1	2	6	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250604_044802.wav	CANTERA1Tapy	cluster_9
4	1	1	4	8	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250604_044802.wav	CANTERA1Tapy	cluster_9
5	1	1	6	10	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250604_044802.wav	CANTERA1Tapy	cluster_9
6	1	1	8	12	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250604_044802.wav	CANTERA1Tapy	cluster_9
7	1	1	10	14	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250604_044802.wav	CANTERA1Tapy	cluster_9
8	1	1	2	6	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250604_053502.wav	CANTERA1Tapy	cluster_9
9	1	1	0	4	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250604_053902.wav	CANTERA1Tapy	cluster_9
10	1	1	2	6	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250604_053902.wav	CANTERA1Tapy	cluster_9
11	1	1	18	22	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_052002.wav	CANTERA1Tapy	cluster_9
12	1	1	42	46	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_192102.wav	CANTERA1Tapy	cluster_9
13	1	1	48	52	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_192102.wav	CANTERA1Tapy	cluster_9
14	1	1	0	4	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_192402.wav	CANTERA1Tapy	cluster_9
15	1	1	2	6	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_192402.wav	CANTERA1Tapy	cluster_9
16	1	1	4	8	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_192402.wav	CANTERA1Tapy	cluster_9
17	1	1	50	54	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_192402.wav	CANTERA1Tapy	cluster_9
18	1	1	0	4	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_192502.wav	CANTERA1Tapy	cluster_9
19	1	1	2	6	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_192502.wav	CANTERA1Tapy	cluster_9
20	1	1	42	46	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_192602.wav	CANTERA1Tapy	cluster_9
21	1	1	2	6	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_192802.wav	CANTERA1Tapy	cluster_9
22	1	1	4	8	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_192802.wav	CANTERA1Tapy	cluster_9
23	1	1	6	10	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_192802.wav	CANTERA1Tapy	cluster_9
24	1	1	14	18	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_192902.wav	CANTERA1Tapy	cluster_9
25	1	1	16	20	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_192902.wav	CANTERA1Tapy	cluster_9
26	1	1	22	26	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_192902.wav	CANTERA1Tapy	cluster_9
27	1	1	24	28	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_192902.wav	CANTERA1Tapy	cluster_9
28	1	1	26	30	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_192902.wav	CANTERA1Tapy	cluster_9
29	1	1	4	8	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193002.wav	CANTERA1Tapy	cluster_9
30	1	1	24	28	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193102.wav	CANTERA1Tapy	cluster_9
31	1	1	26	30	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193102.wav	CANTERA1Tapy	cluster_9
32	1	1	28	32	0.0	8000.0	Dendropsophus cf. minutus | cluster_9	CANTERA1Tapy/CANTERA1TAPY_20250606_193102.wav	CANTERA1Tapy	cluster_9
