Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio
1	1	1	4	8	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_181702.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_181702.wav	CANTERA1Tapy
2	1	1	44	48	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_181702.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_181702.wav	CANTERA1Tapy
3	1	1	46	50	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_181702.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_181702.wav	CANTERA1Tapy
4	1	1	48	52	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_181702.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_181702.wav	CANTERA1Tapy
5	1	1	4	8	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_181802.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_181802.wav	CANTERA1Tapy
6	1	1	6	10	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_181802.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_181802.wav	CANTERA1Tapy
7	1	1	16	20	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_181802.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_181802.wav	CANTERA1Tapy
8	1	1	38	42	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_182402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_182402.wav	CANTERA1Tapy
9	1	1	40	44	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_182402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_182402.wav	CANTERA1Tapy
10	1	1	42	46	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_182402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_182402.wav	CANTERA1Tapy
11	1	1	44	48	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_182402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_182402.wav	CANTERA1Tapy
12	1	1	46	50	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_182402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_182402.wav	CANTERA1Tapy
13	1	1	48	52	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_182402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_182402.wav	CANTERA1Tapy
14	1	1	50	54	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_182402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_182402.wav	CANTERA1Tapy
15	1	1	52	56	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_182402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_182402.wav	CANTERA1Tapy
16	1	1	0	4	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_182502.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_182502.wav	CANTERA1Tapy
17	1	1	2	6	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_182502.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_182502.wav	CANTERA1Tapy
18	1	1	4	8	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_182502.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_182502.wav	CANTERA1Tapy
19	1	1	6	10	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_182502.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_182502.wav	CANTERA1Tapy
20	1	1	32	36	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_184802.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_184802.wav	CANTERA1Tapy
21	1	1	34	38	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_184802.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_184802.wav	CANTERA1Tapy
22	1	1	36	40	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_184802.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_184802.wav	CANTERA1Tapy
23	1	1	6	10	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy
24	1	1	8	12	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy
25	1	1	10	14	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy
26	1	1	12	16	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy
27	1	1	14	18	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy
28	1	1	16	20	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy
29	1	1	18	22	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy
30	1	1	20	24	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy
31	1	1	34	38	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy
32	1	1	36	40	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy
33	1	1	38	42	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy
34	1	1	40	44	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy
35	1	1	42	46	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_185402.wav	CANTERA1Tapy
36	1	1	20	24	0.0	8000.0	cluster_6 | CANTERA1Tapy/CANTERA1TAPY_20250608_185502.wav	CANTERA1Tapy/CANTERA1TAPY_20250608_185502.wav	CANTERA1Tapy
