Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen	sitio
1	1	1	22	26	0.0	8000.0	cluster_1 | EU-41Tapyta/EU-41TAPYTA_20250412_195202.wav	EU-41Tapyta/EU-41TAPYTA_20250412_195202.wav	EU-41Tapyta
2	1	1	36	40	0.0	8000.0	cluster_1 | EU-41Tapyta/EU-41TAPYTA_20250412_195202.wav	EU-41Tapyta/EU-41TAPYTA_20250412_195202.wav	EU-41Tapyta
3	1	1	38	42	0.0	8000.0	cluster_1 | EU-41Tapyta/EU-41TAPYTA_20250412_195202.wav	EU-41Tapyta/EU-41TAPYTA_20250412_195202.wav	EU-41Tapyta
4	1	1	30	34	0.0	8000.0	cluster_1 | EU-41Tapyta/EU-41TAPYTA_20250412_210102.wav	EU-41Tapyta/EU-41TAPYTA_20250412_210102.wav	EU-41Tapyta
5	1	1	50	54	0.0	8000.0	cluster_1 | EU-41Tapyta/EU-41TAPYTA_20250412_210102.wav	EU-41Tapyta/EU-41TAPYTA_20250412_210102.wav	EU-41Tapyta
6	1	1	52	56	0.0	8000.0	cluster_1 | EU-41Tapyta/EU-41TAPYTA_20250412_210102.wav	EU-41Tapyta/EU-41TAPYTA_20250412_210102.wav	EU-41Tapyta
7	1	1	0	4	0.0	8000.0	cluster_1 | EU-41Tapyta/EU-41TAPYTA_20250412_210202.wav	EU-41Tapyta/EU-41TAPYTA_20250412_210202.wav	EU-41Tapyta
8	1	1	8	12	0.0	8000.0	cluster_1 | EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta
9	1	1	10	14	0.0	8000.0	cluster_1 | EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta
10	1	1	12	16	0.0	8000.0	cluster_1 | EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta
11	1	1	14	18	0.0	8000.0	cluster_1 | EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta
12	1	1	18	22	0.0	8000.0	cluster_1 | EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta
13	1	1	20	24	0.0	8000.0	cluster_1 | EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta
14	1	1	22	26	0.0	8000.0	cluster_1 | EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta
15	1	1	24	28	0.0	8000.0	cluster_1 | EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta
16	1	1	26	30	0.0	8000.0	cluster_1 | EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta
17	1	1	28	32	0.0	8000.0	cluster_1 | EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta
18	1	1	30	34	0.0	8000.0	cluster_1 | EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta
19	1	1	32	36	0.0	8000.0	cluster_1 | EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta
20	1	1	34	38	0.0	8000.0	cluster_1 | EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta/EU-41TAPYTA_20250412_210602.wav	EU-41Tapyta
